"Table 5: Revisions to official long-term international immigration, emigration and net migration estimates for YE September 2023 to YE June 2024 [definitions 2, 3, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes and definitions are referred to in this table. The text for these can be found in the corresponding worksheets.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, P = provisional, R = revised, YE = Year Ending and EU = European Union.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Period
[note 10]",Publication,"Immigration: 
All
[note 1]","Immigration: British
","Immigration: EU+
","Immigration: Non-EU+
","Emigration: 
All
[note 1]","Emigration: British
","Emigration: EU+
","Emigration: Non-EU+
","Net migration: 
All
[note 2]","Net migration: 
British
[note 2]","Net migration: 
EU+
[note 2]","Net migration: 
Non-EU+
[note 2]",,,,,,,,,,,,,,
YE Sep 23 R,Previous (May 24),"1,219,000","64,000","117,000","1,038,000","495,000","95,000","204,000","196,000","724,000","-31,000","-86,000","842,000",,,,,,,,,,,,,,
YE Sep 23 R,Previous (Nov 24),"1,304,000","64,000","121,000","1,118,000","425,000","95,000","175,000","155,000","878,000","-31,000","-54,000","963,000",,,,,,,,,,,,,,
YE Sep 23 R,Revised (May 25),"1,305,000","64,000","121,000","1,119,000","433,000","95,000","175,000","162,000","872,000","-31,000","-54,000","957,000",,,,,,,,,,,,,,
YE Sep 23 R,Difference (May 25 - Nov 24),"1,000",0,0,"1,000","8,000",0,0,"7,000","-6,000",0,0,"-6,000",,,,,,,,,,,,,,
YE Dec 23 R,Previous (May 24),"1,218,000","61,000","126,000","1,031,000","532,000","98,000","202,000","233,000","685,000","-37,000","-75,000","797,000",,,,,,,,,,,,,,
YE Dec 23 R,Previous (Nov 24),"1,316,000","61,000","133,000","1,122,000","450,000","98,000","188,000","164,000","866,000","-37,000","-55,000","958,000",,,,,,,,,,,,,,
YE Dec 23 R,Revised (May 25),"1,326,000","61,000","133,000","1,132,000","466,000","98,000","188,000","180,000","860,000","-37,000","-55,000","952,000",,,,,,,,,,,,,,
YE Dec 23 R,Difference (May 25 - Nov 24),"10,000",0,0,"10,000","16,000",0,0,"16,000","-6,000",0,0,"-6,000",,,,,,,,,,,,,,
YE Mar 24 P R,Previous (May 24),Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,,,,,,,,,,,,,
YE Mar 24 P R,Previous (Nov 24),"1,293,000","67,000","116,000","1,110,000","468,000","84,000","201,000","184,000","824,000","-17,000","-85,000","926,000",,,,,,,,,,,,,,
YE Mar 24 P R,Revised (May 25),"1,305,000","67,000","116,000","1,122,000","480,000","84,000","201,000","195,000","825,000","-17,000","-85,000","927,000",,,,,,,,,,,,,,
YE Mar 24 P R,Difference (May 25 - Nov 24),"12,000",0,0,"12,000","12,000",0,0,"11,000","1,000",0,0,"1,000",,,,,,,,,,,,,,
YE Jun 24 P R,Previous (May 24),Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,,,,,,,,,,,,,,
YE Jun 24 P R,Previous (Nov 24),"1,207,000","58,000","116,000","1,034,000","479,000","79,000","211,000","189,000","728,000","-21,000","-95,000","845,000",,,,,,,,,,,,,,
YE Jun 24 P R,Revised (May 25),"1,231,000","58,000","116,000","1,057,000","491,000","79,000","211,000","201,000","739,000","-21,000","-95,000","856,000",,,,,,,,,,,,,,
YE Jun 24 P R,Difference (May 25 - Nov 24),"24,000",0,0,"23,000","12,000",0,0,"12,000","11,000",0,0,"11,000",,,,,,,,,,,,,,
