published_date,type,title,url,view_count,like_count,comment_count,guest_name,party,affiliation_wing,prominence,guest_style,topics,topic_wing,topic_treatment,stance,bias_category,framing_score,vader_title,vader_desc,vader_composite,guest_episodes,guest_median_views,guest_influence_tier,prominence_label,manual_review
2022-02-16,livestream,An Honest Conversation With Nigel Farage,https://www.youtube.com/watch?v=tMH-jBtgrBs,298173,10638,2142,Nigel Farage,Reform UK,right,5.0,,trump_and_us_politics|uk_politics|russia_ukraine_geopolitics|economy_and_cost_of_living,contested,right_framing,endorsing,right_affiliated_endorsing,0.5,0.5106,0.0,0.5106,5,298173.0,medium,Leader/Major,
2022-02-20,livestream,Islam and the West - Ed Husain,https://www.youtube.com/watch?v=geZI74rCR9w,95010,3567,1406,Ed Husain,,,,,islam_and_extremism|uk_politics,right,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,2,126553.0,low,,
2022-02-23,livestream,Doctor: Why I Changed My Mind About Abortion,https://www.youtube.com/watch?v=EJITHkqETGI,84692,3943,2625,Doctor,,,,,trump_and_us_politics,contested,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,84692.0,low,,
2022-02-25,livestream,Viva Frei on Canada Freedom Convoy,https://www.youtube.com/watch?v=L2RJHcs17OI,82068,4958,427,Viva Frei,Freedom Convoy,right,3.0,,covid_and_pandemic|crime_and_policing,unknown,unknown,unknown,right_affiliated_unknown,1.0,0.6369,0.5106,0.59901,1,82068.0,low,Senior/Established,
2022-03-08,video,Glenn Greenwald on Why We No Longer Trust the Media,https://www.youtube.com/watch?v=Yi05GMVsx7w,54301,2672,277,Glenn Greenwald,Heterodox,contested,3.0,heterodox,trump_and_us_politics|russia_ukraine_geopolitics,contested,right_framing,unknown,contested_affiliated_unknown,0.5,0.2732,0.0,0.2732,4,68216.5,low,Senior/Established,
2022-03-13,livestream,"Rupert Lowe: ""Our Leaders Have No Idea What They're Doing""",https://www.youtube.com/watch?v=LLDPZDDnf4I,55832,2450,434,Rupert Lowe,,,,,,unknown,unknown,unknown,unclassified,0.0,-0.1779,0.0,-0.1779,1,55832.0,low,,
2022-03-16,livestream,"""They Are Indoctrinating Your Children"" - Bonnie Snyder",https://www.youtube.com/watch?v=ZWJQ3jWjOG0,102956,4859,944,Bonnie Snyder,,,,,,unknown,unknown,unknown,unclassified,0.0,-0.1779,0.0,-0.1779,1,102956.0,low,,
2022-03-20,livestream,Climate Change: Propaganda vs. Reality with Mallen Baker,https://www.youtube.com/watch?v=GLFl5f8jipM,139730,4756,1725,Climate Change,,,,,trump_and_us_politics|uk_politics|russia_ukraine_geopolitics|climate_and_environment,left,unknown,unknown,unclassified,0.0,-0.25,0.0,-0.25,1,139730.0,low,,
2022-03-23,livestream,"Ex-Putin Advisor: ""He Must Be Stopped""",https://www.youtube.com/watch?v=hl_nWwx2B7w,90543,4118,1306,Ex-Putin Advisor,,,,,trump_and_us_politics|uk_politics|russia_ukraine_geopolitics,contested,unknown,challenging,unclassified,0.0,-0.2263,0.0,-0.2263,1,90543.0,low,,
2022-03-27,livestream,Dr Steve Peters: How to Overcome Anxiety and Build Confidence,https://www.youtube.com/watch?v=-M4rCH30JqM,62665,1955,183,Dr Steve Peters,,,,,,unknown,unknown,unknown,unclassified,0.0,0.3818,0.0,0.3818,1,62665.0,low,,
2022-04-06,livestream,What I Learned From Leaving Mumford & Sons - Winston Marshall,https://www.youtube.com/watch?v=1w7TY3k3Zz8,208749,6661,1421,Winston Marshall,,,,,woke_and_cancel_culture|uk_politics,right,sympathetic_to_right,unknown,right_topic_sympathetic,0.5,0.0,0.0,0.0,1,208749.0,medium,,
