published_date,title,url,topics,n_topics,framing_score,tags_framing_score,guest_signal,identity_signal,guest_name_detected,guest_style,combined_score,combined_label,signal_sources,confidence,label_stage4b,label_stage5,label_stage6,cumulative_bias_score,score_lexicon,score_tags,score_guest_talkingpoints,score_guest_identity,combined_label_with_manual,manual_override_applied,manual_override_note
2019-07-08,Important Message and Announcements!,https://www.youtube.com/watch?v=PEUOoRizk_k,,0,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-07-12,Robin Aitken on BBC Bias,https://www.youtube.com/watch?v=YOQQESMkcio,uk_politics|culture_war_general,2,2.0,1.0,1.0,1.0,Robin Aitken,,3.0,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,4.0,1.0,1.0,1.0,1.0,right-leaning,False,
2019-07-14,"Robin Aitken on BBC Bias, Diversity and Social Liberalism",https://www.youtube.com/watch?v=tJE4Oy5aPls,woke_and_cancel_culture|uk_politics|culture_war_general,3,1.5,0.5,1.0,1.0,Robin Aitken,,2.5,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,3.5,1.0,0.5,1.0,1.0,right-leaning,False,
2019-07-17,Matthew Parris: We Must Stop Brexit,https://www.youtube.com/watch?v=Ovgf3tyQn4E,uk_politics|culture_war_general,2,0.0,0.0,0.0,0.0,Matthew Parris,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-07-21,Matthew Parris on a Second Referendum and the Future of the Conservative Party,https://www.youtube.com/watch?v=YiBfabI0GBc,uk_politics|culture_war_general,2,0.0,0.0,0.0,0.0,Matthew Parris,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-07-26,Noah Carl: Freedom of Speech in Academia,https://www.youtube.com/watch?v=ftMGFl7Q_II,free_speech_and_censorship,1,0.0,0.0,0.0,0.0,Noah Carl,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-07-28,"Noah Carl on Race, IQ and Academic Freedom",https://www.youtube.com/watch?v=5-6xvNxv84M,free_speech_and_censorship|culture_war_general,2,0.0,0.0,0.0,0.0,Noah Carl,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-08-02,Simon Evans on Jo Brand and Freedom of Speech in Comedy,https://www.youtube.com/watch?v=OYgVuqq2JyY,free_speech_and_censorship,1,0.0,0.0,1.0,1.0,Simon Evans,,1.0,right-leaning,guest,medium,right-leaning,right-leaning,right-leaning,2.0,0.0,0.0,1.0,1.0,right-leaning,False,
2019-08-04,"Simon Evans on Comedy, Liberal Bias and Offence Culture",https://www.youtube.com/watch?v=3CT-rCju9PI,free_speech_and_censorship|culture_war_general,2,1.5,0.5,1.0,1.0,Simon Evans,,2.5,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,3.5,1.0,0.5,1.0,1.0,right-leaning,False,
2019-08-09,"Maryam Namazie: ""Islam is not a Religion of Peace""",https://www.youtube.com/watch?v=8G_oYUCitjM,islam_and_extremism|culture_war_general,2,1.5,0.5,1.0,1.0,Maryam Namazie,,2.5,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,3.5,1.0,0.5,1.0,1.0,right-leaning,False,
2019-08-11,"Maryam Namazie on Islam, Tommy Robinson and Grooming Gangs",https://www.youtube.com/watch?v=6o6myfXwtdA,immigration_and_borders|islam_and_extremism|culture_war_general|crime_and_policing,4,6.0,2.0,1.0,1.0,Maryam Namazie,,7.0,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,8.0,4.0,2.0,1.0,1.0,right-leaning,False,
2019-08-17,The “Reality” of Being a Reality TV Star,https://www.youtube.com/watch?v=OShKrfu-9Hg,,0,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-08-18,Francis Boulle on Classical Liberalism and the Dangers of Reality TV,https://www.youtube.com/watch?v=DyKbOdSJEeI,culture_war_general,1,0.0,0.0,0.0,0.0,Francis Boulle,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-08-23,"Norman Brennan: ""The Police Have Lost Control of the Streets""",https://www.youtube.com/watch?v=agFxCOCH7n0,uk_politics|crime_and_policing,2,0.0,0.0,0.0,0.0,Norman Brennan,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-08-25,Norman Brennan on Knife Crime and Chaos on the Streets,https://www.youtube.com/watch?v=s4MsxBDkG2w,uk_politics|culture_war_general|crime_and_policing,3,0.0,0.0,0.0,0.0,Norman Brennan,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-08-31,Undercover in Britain's Gig Economy,https://www.youtube.com/watch?v=S36Vj2iMzzA,uk_politics|economy_and_cost_of_living,2,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-09-01,James Bloodworth on the Evils of the Gig Economy,https://www.youtube.com/watch?v=EkygW81dzd4,economy_and_cost_of_living|culture_war_general,2,0.0,0.0,0.0,0.0,James Bloodworth,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-09-03,To TRIGGERnometry Fans,https://www.youtube.com/watch?v=3KnDEissi1g,free_speech_and_censorship|culture_war_general,2,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
